sample_id,sample_location,acbr,litho,lat,lon,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,region_tm,region_svl,region_nvl,region_nwap
AV1-1,Shackleton Glacier,Transantarctic Mountains,c,-85.17621667,-174.0884833,-53973.54772745317,-521266.47188468126,1436.0,71.2,149.7,-34.1,12.1,112.4,1,0,0,0
AV1-8,Shackleton Glacier,Transantarctic Mountains,c,-85.17595,-174.1165333,-53721.32085354675,-521321.6867037365,1382.0,71.1,149.7,-34.1,4.3,208.2,1,0,0,0
AV2-1,Shackleton Glacier,Transantarctic Mountains,c,-85.1706,-174.1338,-53623.68985202194,-521916.74254531827,1369.0,70.5,149.7,-34.1,7.8,193.2,1,0,0,0
AV3-1,Shackleton Glacier,Transantarctic Mountains,c,-85.17068333,-174.1483,-53490.68111414727,-521921.2796559875,1395.0,70.4,149.7,-34.1,25.7,249.6,1,0,0,0
AV3-7,Shackleton Glacier,Transantarctic Mountains,c,-85.16708333,-174.1508333,-53507.51107541638,-522313.1908649276,1332.0,70.1,149.7,-34.1,3.3,7.9,1,0,0,0
BP1-1,Shackleton Glacier,Transantarctic Mountains,c,-85.21261667,-177.3386167,-24149.629974423875,-519533.0553981218,1350.0,74.6,77.8,-33.88,6.5,178.4,1,0,0,0
BP1-8,Shackleton Glacier,Transantarctic Mountains,c,-85.20063333,-177.3757667,-23872.443399969645,-520850.6726101858,1190.0,73.4,77.8,-33.88,5.0,56.4,1,0,0,0
BP2-1,Shackleton Glacier,Transantarctic Mountains,c,-85.21213333,-177.3576,-23979.920125266093,-519593.54521226964,1359.0,74.5,77.8,-33.88,4.0,307.2,1,0,0,0
BP3-1,Shackleton Glacier,Transantarctic Mountains,c,-85.21436667,-177.4047667,-23541.175846854847,-519370.43842726736,1372.0,74.9,77.8,-33.88,3.9,201.9,1,0,0,0
BP3-8,Shackleton Glacier,Transantarctic Mountains,c,-85.2049,-177.4135667,-23507.872380191016,-520402.69193250564,1190.0,73.9,77.8,-33.88,4.8,196.1,1,0,0,0
BPS-1,Bull Pass,South Victoria Land,g,-77.47965,161.74065,427687.13987981784,-1296290.7557374674,817.487,43.0,37.0,-31.26,17.6,223.8,0,1,0,0
BPS-18,Bull Pass,South Victoria Land,c,-77.475483,161.780483,426929.0580192602,-1297022.8989114575,608.13,42.2,37.0,-31.26,3.0,251.1,0,1,0,0
BPS-22,Bull Pass,South Victoria Land,c,-77.475483,161.787483,426770.59359301045,-1297075.0484556255,597.941,42.0,37.0,-31.26,2.9,192.9,0,1,0,0
BPS-25,Bull Pass,South Victoria Land,c,-77.474317,161.79715,426591.7853614663,-1297268.801991324,591.933,41.8,37.0,-31.26,2.6,354.0,0,1,0,0
BPS-5,Bull Pass,South Victoria Land,c,-77.47415,161.797817,426582.4181301012,-1297291.2081158427,592.822,41.8,37.0,-31.26,2.6,358.6,0,1,0,0
BS-607,Battleship Promontory,South Victoria Land,s,-76.922417,161.081533,462442.9717842809,-1349266.1556202539,1233.68,24.4,66.0,-32.57,5.4,190.6,0,1,0,0
BS-610,Battleship Promontory,South Victoria Land,s,-76.922133,161.077833,462540.238430717,-1349265.8564721367,1242.54,24.5,66.0,-32.57,2.2,248.7,0,1,0,0
BS-618,Battleship Promontory,South Victoria Land,s,-76.921567,161.080067,462507.8272687512,-1349342.8166740786,1228.77,24.5,66.0,-32.57,4.7,166.4,0,1,0,0
CB-CMBjA1,The Cloudmaker,Transantarctic Mountains,g,-84.272414,169.320419,115340.72797783984,-611618.2210622167,2252.7,63.1,101.7,-22.0,26.7,139.0,1,0,0,0
CB-iH5,The Cloudmaker,Transantarctic Mountains,g,-84.26257,169.274083,116034.7478605808,-612577.598467023,1723.91,62.8,101.7,-22.0,15.5,136.2,1,0,0,0
CK-20B,CTAM: Kyffin,Transantarctic Mountains,c,-83.811847,171.946772,94218.82307591577,-665912.4119000491,364.308,10.1,175.6,-23.17,3.6,356.8,1,0,0,0
CK1-100B,CTAM: Kyffin,Transantarctic Mountains,c,-83.82078,171.964511,93876.66183683134,-664978.2780071999,363.917,11.1,175.6,-23.17,4.4,50.1,1,0,0,0
CK2-100A,CTAM: Kyffin,Transantarctic Mountains,c,-83.820775,171.964582,93875.91392077706,-664978.9335000317,363.944,11.1,175.6,-23.17,4.4,50.1,1,0,0,0
CK2-100B,CTAM: Kyffin,Transantarctic Mountains,c,-83.81118,171.952737,94159.66377341002,-665994.1401928874,359.732,10.0,175.6,-23.17,5.4,171.9,1,0,0,0
CM-2 1,CTAM: Meyers Desert,Transantarctic Mountains,c,-85.162,167.083333,117489.22765059909,-512300.05196530506,1870.42,153.9,14.9,-37.5,1.5,131.2,1,0,0,0
CM-4,CTAM: Meyers Desert,Transantarctic Mountains,c,-85.171731,167.079235,117289.18947756404,-511259.96912325954,1893.12,154.8,14.9,-37.5,3.8,239.8,1,0,0,0
CM-PA 3-10,CTAM: Meyers Desert,Transantarctic Mountains,c,-85.17185,167.079833,117280.9592153999,-511248.576916768,1892.78,154.8,14.9,-37.5,2.6,244.6,1,0,0,0
CM-PA 30,CTAM: Meyers Desert,Transantarctic Mountains,c,-85.171731,167.079235,117289.18947756404,-511259.96912325954,1893.12,154.8,14.9,-37.5,3.8,239.8,1,0,0,0
CM2 (OM),CTAM: Meyers Desert,Transantarctic Mountains,c,-85.161882,167.083086,117494.30534680223,-512312.0560405214,1870.27,153.9,14.9,-37.5,1.8,158.5,1,0,0,0
CR-0819,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,-23.004,0.5,57.3,-14.53,6.5,86.0,0,1,0,0
CR-0821,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,-23.004,0.5,57.3,-14.53,6.5,86.0,0,1,0,0
CR-0826,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,-23.004,0.5,57.3,-14.53,6.5,86.0,0,1,0,0
CR-0828,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,-23.004,0.5,57.3,-14.53,6.5,86.0,0,1,0,0
CR-0833,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,-23.004,0.5,57.3,-14.53,6.5,86.0,0,1,0,0
CS-CR2,Cape Royds (2012-13),South Victoria Land,a,-77.55312,166.16075,324579.7396510135,-1317554.9886634888,-40.5921,0.1,57.3,-14.53,6.2,259.0,0,1,0,0
CS-CR5,Cape Royds (2012-13),South Victoria Land,a,-77.55379,166.16237,324524.8731478916,-1317492.659325904,-47.1427,0.1,57.3,-14.53,4.5,32.5,0,1,0,0
CS-CR7,Cape Royds (2012-13),South Victoria Land,a,-77.55383,166.16182,324536.4685690278,-1317485.2750430368,-48.9174,0.1,57.3,-14.53,2.9,65.1,0,1,0,0
CS-CR9,Cape Royds (2012-13),South Victoria Land,a,-77.5538,166.16188,324535.87758728967,-1317488.816652168,-48.6517,0.1,57.3,-14.53,2.9,65.1,0,1,0,0
DA-1,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,415.134,3.4,122.5,-26.96,4.9,276.9,0,1,0,0
DA-3,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,415.134,3.4,122.5,-26.96,4.9,276.9,0,1,0,0
DA-4,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,415.134,3.4,122.5,-26.96,4.9,276.9,0,1,0,0
DA-5,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,415.134,3.4,122.5,-26.96,4.9,276.9,0,1,0,0
DA-6,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,415.134,3.4,122.5,-26.96,4.9,276.9,0,1,0,0
DS1(1-2),Dais,South Victoria Land,n,-77.551217,161.22075,436899.3300500548,-1284908.494426191,802.678,54.1,37.0,-31.26,4.9,294.9,0,1,0,0
DS2(1-2),Dais,South Victoria Land,c,-77.55055,161.25785,436090.7947400892,-1285260.5513467463,747.053,53.2,37.0,-31.26,2.2,0.1,0,1,0,0
GE-A1-3,Garwood Elevationanl Transect,South Victoria Land,c,-78.02102,163.89929,362060.9826767912,-1254331.3615225216,304.222,9.7,58.3,-25.52,2.8,16.9,0,1,0,0
GE-A2-2,Garwood Elevationanl Transect,South Victoria Land,c,-78.02102,163.89957,362054.85285306006,-1254333.130871291,304.376,9.7,58.3,-25.52,2.8,16.9,0,1,0,0
GE-B1-3,Garwood Elevationanl Transect,South Victoria Land,c,-78.01838,163.88684,362413.9937000954,-1254531.1838095346,317.617,10.0,58.3,-25.52,5.4,1.5,0,1,0,0
GE-C2-3,Garwood Elevationanl Transect,South Victoria Land,c,-78.0178,163.87904,362602.4623381418,-1254543.0236740983,335.981,10.2,58.3,-25.52,10.1,322.0,0,1,0,0
GE-C3-2,Garwood Elevationanl Transect,South Victoria Land,c,-78.0178,163.87984,362584.9455776997,-1254548.0864372833,334.335,10.2,58.3,-25.52,11.3,312.3,0,1,0,0
HC-BA1,Hawkins Cirque,South Victoria Land,c,-77.51125,160.58441,452602.95206714846,-1284120.4025464205,1142.92,67.7,38.3,-35.59,5.9,332.2,0,1,0,0
HC-BA2,Hawkins Cirque,South Victoria Land,c,-77.51149,160.58763,452522.01587357116,-1284120.9544840034,1139.36,67.7,38.3,-35.59,7.8,331.1,0,1,0,0
HC-Z5-1,Hawkins Cirque,South Victoria Land,c,-77.509267,160.589717,452556.4507269258,-1284367.910992162,1163.15,67.4,38.3,-35.59,4.3,4.1,0,1,0,0
HC-ZS2,Hawkins Cirque,South Victoria Land,c,-77.509533,160.596333,452398.42629964626,-1284392.5802786725,1183.27,67.4,38.3,-35.59,14.5,16.0,0,1,0,0
HD-10,Hogg: Durham Point,Transantarctic Mountains,g,-85.53565,-151.18523,-233741.7091660048,-424915.0887538692,257.424,16.8,232.5,-22.57,12.2,183.2,1,0,0,0
HD-14,Hogg: Durham Point,Transantarctic Mountains,g,-85.53555,-151.18968,-233713.94703102336,-424942.76992005896,252.395,16.7,232.5,-22.57,10.9,191.8,1,0,0,0
HD-6,Hogg: Durham Point,Transantarctic Mountains,g,-85.54578,-151.14393,-233516.30336451,-423781.6937235675,430.317,17.9,232.5,-22.57,14.2,154.4,1,0,0,0
HG-3,Hogg: Garden Spur,Transantarctic Mountains,g,-84.5361,-174.9459,-52302.669911726865,-591390.2741740255,122.046,5.6,139.9,-21.73,3.6,128.4,1,0,0,0
HG-54,Hogg: Garden Spur,Transantarctic Mountains,g,-84.5362,-174.9438,-52323.38631333717,-591377.5161419689,122.004,5.6,139.9,-21.73,13.9,207.8,1,0,0,0
HG-6,Hogg: Garden Spur,Transantarctic Mountains,c,-84.5357,-174.9415,-52351.923607329416,-591429.6182962669,93.7995,5.6,139.9,-21.73,19.2,216.3,1,0,0,0
HG-8,Hogg: Garden Spur,Transantarctic Mountains,w,-84.5356,-174.952,-52244.49518826418,-591450.0431397047,119.382,5.5,139.9,-21.73,9.1,153.1,1,0,0,0
HG-9,Hogg: Garden Spur,Transantarctic Mountains,g,-84.5379,-174.9299,-52450.503183483925,-591180.518238939,157.443,5.9,139.9,-21.73,19.3,186.2,1,0,0,0
HK-1,Mount Kyffin,Transantarctic Mountains,s,-83.760833,172.746167,85620.58739991453,-672673.3442372534,438.754,7.2,175.6,-23.17,28.2,14.3,1,0,0,0
HK-2,Mount Kyffin,Transantarctic Mountains,s,-83.760833,172.7461,85621.37400428749,-672673.2441145959,438.663,7.2,175.6,-23.17,28.2,14.3,1,0,0,0
HK-3,Mount Kyffin,Transantarctic Mountains,s,-83.760817,172.74665,85615.13680750738,-672675.7945768988,440.588,7.2,175.6,-23.17,28.2,14.3,1,0,0,0
HK-4,Mount Kyffin,Transantarctic Mountains,s,-83.760717,172.749983,85577.38029861385,-672691.577577423,455.496,7.1,175.6,-23.17,25.8,15.0,1,0,0,0
HK-5,Mount Kyffin,Transantarctic Mountains,s,-83.760733,172.750683,85568.94192910475,-672690.8944493945,454.1,7.1,175.6,-23.17,30.9,10.8,1,0,0,0
HM-2,Hogg: Masan,Transantarctic Mountains,d,-84.559,175.0087,51437.604560098545,-588964.5164405295,2599.21,55.3,266.4,-32.06,8.6,107.2,1,0,0,0
HM-3,Hogg: Masan,Transantarctic Mountains,d,-84.559,175.0086,51438.632497019,-588964.4266640766,2599.07,55.3,266.4,-32.06,8.6,107.2,1,0,0,0
HM-5,Hogg: Masan,Transantarctic Mountains,d,-84.55905,175.0089,51435.07527962859,-588959.2752329244,2599.7,55.3,266.4,-32.06,8.2,100.9,1,0,0,0
HM-6,Hogg: Masan,Transantarctic Mountains,d,-84.55917,175.0089,51433.93910493129,-588946.2654215725,2600.11,55.3,266.4,-32.06,8.2,95.8,1,0,0,0
HS-1,Harcourt Spur,Transantarctic Mountains,s,-83.8008,172.217233,91237.30363370117,-667541.718382929,552.716,9.1,175.6,-23.17,28.9,41.7,1,0,0,0
HS-2,Harcourt Spur,Transantarctic Mountains,s,-83.800917,172.219133,91213.4420223561,-667532.1191122787,556.287,9.1,175.6,-23.17,26.1,44.4,1,0,0,0
HS-3,Harcourt Spur,Transantarctic Mountains,s,-83.800867,172.221833,91182.72215318019,-667541.8118007382,561.672,9.1,175.6,-23.17,12.4,119.0,1,0,0,0
HS-4,Harcourt Spur,Transantarctic Mountains,s,-83.8003,172.2103,91325.45825123215,-667584.6229548722,533.736,9.0,175.6,-23.17,29.8,85.3,1,0,0,0
HS-7,Harcourt Spur,Transantarctic Mountains,s,-83.805733,172.26245,90638.13182514982,-667081.1831776756,742.082,9.8,175.6,-23.17,18.0,337.9,1,0,0,0
HV1-8,Shackleton Glacier,Transantarctic Mountains,d,-85.03005,-177.1751333,-26610.65094130031,-539297.0893023212,990.0,54.9,77.8,-33.88,13.3,247.6,1,0,0,0
HV2-5,Shackleton Glacier,Transantarctic Mountains,c,-85.0467,-177.4161667,-24260.039022421475,-537594.8387888371,924.0,57.2,77.8,-33.88,5.5,333.0,1,0,0,0
HV3-1,Shackleton Glacier,Transantarctic Mountains,c,-85.03316667,-177.3292167,-25144.44629719729,-539028.0224488863,1161.0,55.6,77.8,-33.88,22.7,310.5,1,0,0,0
HV3-9,Shackleton Glacier,Transantarctic Mountains,d,-85.02945,-177.1922833,-26452.42247537262,-539370.2232824025,1003.0,54.8,77.8,-33.88,8.6,182.8,1,0,0,0
HVY-4A,Hidden Valley,South Victoria Land,c,-78.14,163.901,358400.8121978934,-1241790.0859211169,237.977,4.9,58.3,-25.52,15.6,15.2,0,1,0,0
HVY-5A,Hidden Valley,South Victoria Land,c,-78.14,163.901,358400.8121978934,-1241790.0859211169,237.977,4.9,58.3,-25.52,15.6,15.2,0,1,0,0
HVY-9054A,Hidden Valley,South Victoria Land,c,-78.15421751,163.950428,356897.859734292,-1240598.7150647608,94.4075,2.1,109.7,-20.02,11.5,330.0,0,1,0,0
HVY-9062A,Hidden Valley,South Victoria Land,c,-78.14311,163.89069,358529.51617260434,-1241397.5319271814,167.412,4.0,58.3,-25.52,6.1,8.3,0,1,0,0
HVY-9130A,Hidden Valley,South Victoria Land,c,-78.16503243,163.9685377,356177.8196180215,-1239570.2963978068,-45.5941,1.1,109.7,-20.02,4.5,326.8,0,1,0,0
