target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,30,0.1,6,3,0.6,0.5,1.0,0.6554862487015274,6.255693714444923,6.255693714444923,strong,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,30,0.05,4,1,1.0,1.0,0.0,0.4943275324455553,0.06628650962890761,0.06628650962890761,moderate,28,171,predicted
log_total_mg_l_na,total_mg_l_na,True,log,exp,80,0.1,4,10,1.0,1.0,1.0,0.4778557841305413,1.3431838232550302,1677.9381149083863,moderate,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,120,0.1,6,5,0.6,0.5,0.0,0.4578377316327714,2143.3195512002667,2143.3195512002667,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,120,0.1,3,3,0.6,0.5,0.0,0.43569475292134563,1.3767180443606992,1.3767180443606992,moderate,28,171,predicted
digest_mg_kg_na5895,digest_mg_kg_na5895,False,raw,none,300,0.1,3,5,0.8,0.5,0.0,0.4342453929981054,2363.864932173385,2363.864932173385,moderate,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,80,0.05,3,10,1.0,0.5,1.0,0.41855920374176403,5206.805873737564,5206.805873737564,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,120,0.1,3,10,0.8,1.0,0.0,0.40851325086343804,0.9393184096037586,52.77229687583443,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,120,0.05,3,1,0.6,0.5,1.0,0.40423877346864223,0.7834583194450072,1445.8139566520063,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,30,0.1,4,5,0.6,0.7,0.1,0.3973799460985096,10.395713435489768,10.395713435489768,moderate,28,171,predicted
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,80,0.05,3,10,1.0,0.5,1.0,0.39736060731356826,20.49060283580814,20.49060283580814,moderate,28,171,predicted
clr_total_mg_l_k,clr_total_mg_l_k,False,raw,none,30,0.1,3,10,1.0,0.7,1.0,0.38478220196101276,1.0255272089572385,1.0255272089572385,moderate,28,171,predicted
c_n_ratio,c_n_ratio,False,raw,none,120,0.1,6,1,0.8,1.0,1.0,0.3722920571871666,11.500841100813672,11.500841100813672,moderate,28,171,predicted
log_digest_mg_kg_ca3158,digest_mg_kg_ca3158,True,log,exp,200,0.1,4,5,0.6,1.0,0.0,0.3520175348710286,0.8959249550049408,8255.322416194273,moderate,28,171,predicted
digest_mg_kg_ti3349,digest_mg_kg_ti3349,False,raw,none,300,0.01,3,5,0.6,0.5,0.1,0.3458232954612811,520.6537284703709,520.6537284703709,moderate,28,171,predicted
wt_percent_c,wt_percent_c,False,raw,none,80,0.05,3,10,0.8,0.5,0.1,0.3394476022191696,0.42834477430660495,0.42834477430660495,moderate,28,171,predicted
clr_hr_1_mg_l_po4,clr_hr_1_mg_l_po4,False,raw,none,50,0.1,3,5,0.8,0.5,1.0,0.32677875216002394,1.4484835517464405,1.4484835517464405,moderate,28,171,predicted
log_digest_mg_kg_mo2020,digest_mg_kg_mo2020,True,log1p,expm1,80,0.03,3,1,1.0,1.0,1.0,0.3232527897450326,0.23210318998358836,0.39282215494215206,moderate,28,171,predicted
d13c_vpdb_permil,d13c_vpdb_permil,False,raw,none,200,0.03,3,10,0.6,0.5,1.0,0.3231846656001186,8.833380577237822,8.833380577237822,moderate,28,171,predicted
digest_mg_kg_al3082,digest_mg_kg_al3082,False,raw,none,200,0.1,3,10,1.0,0.7,0.0,0.30398297504347027,5391.762209044361,5391.762209044361,moderate,28,171,predicted
clr_hr_24_mg_l_po4,clr_hr_24_mg_l_po4,False,raw,none,200,0.01,8,1,1.0,0.7,1.0,0.2911909972650677,1.1745592367355298,1.1745592367355298,weak,28,171,predicted
ph_mq,ph_mq,False,raw,none,200,0.01,6,5,0.6,0.5,1.0,0.279530854480291,1.0242919223552702,1.0242919223552702,weak,28,171,predicted
log_cec_meq_100g,cec_meq_100g,True,log1p,expm1,50,0.1,4,10,0.6,0.5,0.0,0.27142605684929677,0.48892313476616595,2.8572079923242555,weak,28,171,predicted
clr_total_mg_l_ca2,clr_total_mg_l_ca2,False,raw,none,200,0.03,4,5,0.6,1.0,1.0,0.26031447451724943,1.0403876761436333,1.0403876761436333,weak,28,171,predicted
digest_mg_kg_co2286,digest_mg_kg_co2286,False,raw,none,30,0.1,4,5,0.6,0.5,0.1,0.2571999116465822,4.817017979842245,4.817017979842245,weak,28,171,predicted
log_total_mg_l_so4,total_mg_l_so4,True,log,exp,30,0.1,6,3,0.6,0.5,1.0,0.2550230831834044,1.7285199873161181,4411.489200345604,weak,28,171,predicted
digest_mg_kg_fe2599,digest_mg_kg_fe2599,False,raw,none,50,0.05,4,10,1.0,0.5,0.0,0.24897128300173033,6402.583621450321,6402.583621450321,weak,28,171,predicted
ph_kcl,ph_kcl,False,raw,none,50,0.03,6,3,0.6,0.5,0.0,0.2482097530258206,1.0450429426883716,1.0450429426883716,weak,28,171,predicted
log_hr_1_mg_l_so4,hr_1_mg_l_so4,True,log,exp,30,0.1,6,3,0.6,0.5,1.0,0.24106226630999794,1.864708961524758,3082.3213661938958,weak,28,171,predicted
clr_hr_1_mg_l_no3,clr_hr_1_mg_l_no3,False,raw,none,30,0.05,6,1,1.0,0.5,0.0,0.21652589809655665,1.5047477202762083,1.5047477202762083,weak,28,171,predicted
log_hr_24_mg_l_cl,hr_24_mg_l_cl,True,log,exp,120,0.1,6,5,0.6,0.5,0.0,0.21438063301175692,1.5957712434297988,67.13302972944425,weak,28,171,predicted
clr_total_mg_l_no3,clr_total_mg_l_no3,False,raw,none,50,0.1,8,10,0.8,0.7,0.1,0.20451952372678217,1.4404658260656298,1.4404658260656298,weak,28,171,predicted
log_total_mg_l_mg2,total_mg_l_mg2,True,log,exp,300,0.03,6,10,0.8,1.0,0.1,0.19888597157829524,1.808822963164104,498.5326355247126,weak,28,171,predicted
log_digest_mg_kg_pb2203,digest_mg_kg_pb2203,True,log1p,expm1,50,0.03,3,1,1.0,1.0,0.0,0.17995741718607472,0.7121740966489563,14.77478732536079,weak,28,171,predicted
clr_total_mg_l_sr2,clr_total_mg_l_sr2,False,raw,none,200,0.01,6,3,0.8,0.5,0.1,0.17548440935021947,1.291835891168514,1.291835891168514,weak,28,171,predicted
log_total_mg_l_ca2,total_mg_l_ca2,True,log,exp,300,0.1,6,1,0.6,0.7,0.0,0.17506943326699143,1.9391456385414185,1922.4852552070283,weak,28,171,predicted
log_hr_1_mg_l_cl,hr_1_mg_l_cl,True,log,exp,30,0.1,4,3,0.6,0.5,0.0,0.17372965417965291,2.1294232921654115,693.7522628150663,weak,28,171,predicted
clr_total_mg_l_na,clr_total_mg_l_na,False,raw,none,50,0.1,4,10,0.6,0.5,0.0,0.15459431456433492,0.7987372911462641,0.7987372911462641,weak,28,171,predicted
digest_mg_kg_v_2924,digest_mg_kg_v_2924,False,raw,none,30,0.05,3,10,0.6,0.5,0.0,0.14102026524358735,18.733019585280726,18.733019585280726,weak,28,171,predicted
digest_mg_kg_mn2576,digest_mg_kg_mn2576,False,raw,none,200,0.01,6,1,1.0,1.0,0.1,0.131707640955524,219.8863431845728,219.8863431845728,weak,28,171,predicted
clr_hr_24_mg_l_so4,clr_hr_24_mg_l_so4,False,raw,none,50,0.1,4,10,0.6,0.5,0.0,0.13044529187270848,1.2093063767104322,1.2093063767104322,weak,28,171,predicted
clr_hr_24_mg_l_cl,clr_hr_24_mg_l_cl,False,raw,none,50,0.03,6,3,1.0,0.5,0.1,0.1256498350397277,1.0703546892392126,1.0703546892392126,weak,28,171,predicted
clr_total_mg_l_cl,clr_total_mg_l_cl,False,raw,none,30,0.05,3,1,0.6,1.0,0.0,0.12193030963143936,1.3623448861301086,1.3623448861301086,weak,28,171,predicted
log_total_mg_l_cl,total_mg_l_cl,True,log,exp,300,0.05,3,1,0.8,0.5,1.0,0.1186265093718718,1.9030885001185285,742.5910153824892,weak,28,171,predicted
digest_mg_kg_si2516,digest_mg_kg_si2516,False,raw,none,30,0.05,3,10,0.6,0.5,0.0,0.10874998565513527,198.4544841687098,198.4544841687098,weak,28,171,predicted
ph_cacl2,ph_cacl2,False,raw,none,120,0.01,8,10,0.8,0.7,0.0,0.10804507206434488,0.9922579891031718,0.9922579891031718,weak,28,171,predicted
digest_mg_kg_be3130,digest_mg_kg_be3130,False,raw,none,50,0.03,6,1,0.6,0.5,0.1,0.10581748947058711,0.8077036239976484,0.8077036239976484,weak,28,171,predicted
digest_mg_kg_ba4554,digest_mg_kg_ba4554,False,raw,none,30,0.03,4,5,1.0,0.7,0.0,0.09738474311215706,28.827061075971436,28.827061075971436,weak,28,171,predicted
clr_hr_1_mg_l_so4,clr_hr_1_mg_l_so4,False,raw,none,120,0.1,6,1,0.8,1.0,1.0,0.09368527154084672,1.233384676070303,1.233384676070303,weak,28,171,predicted
log_digest_mg_kg_li6707,digest_mg_kg_li6707,True,log1p,expm1,50,0.05,8,5,1.0,1.0,0.1,0.08192028953353347,0.8753012599530153,9.358123934818925,weak,28,171,predicted
digest_mg_kg_cu3247,digest_mg_kg_cu3247,False,raw,none,120,0.01,4,10,0.6,0.5,0.0,0.07298030840943459,12.754253157874292,12.754253157874292,weak,28,171,predicted
clr_total_mg_l_so4,clr_total_mg_l_so4,False,raw,none,30,0.05,6,5,0.6,1.0,1.0,0.06177544370624111,0.9917872712773554,0.9917872712773554,weak,28,171,predicted
digest_mg_kg_zn2138,digest_mg_kg_zn2138,False,raw,none,120,0.01,4,5,0.6,1.0,0.0,0.05107575396433994,32.2556316459706,32.2556316459706,weak,28,171,predicted
clr_hr_1_mg_l_cl,clr_hr_1_mg_l_cl,False,raw,none,30,0.05,8,10,0.8,0.7,0.0,0.050532275720210684,1.325606454417568,1.325606454417568,weak,28,171,predicted
clr_hr_24_mg_l_f,clr_hr_24_mg_l_f,False,raw,none,50,0.03,6,1,0.6,0.7,0.1,0.05033727343563221,1.1529060316440332,1.1529060316440332,weak,28,171,predicted
log_digest_mg_kg_sb2068,digest_mg_kg_sb2068,True,log1p,expm1,80,0.01,6,3,0.8,0.5,0.1,0.026054005957350523,0.17957376218048038,0.6451592863525027,weak,28,171,predicted
clr_hr_24_mg_l_no3,clr_hr_24_mg_l_no3,False,raw,none,120,0.01,4,10,0.6,0.5,0.0,0.011121745395259897,1.0911043626933867,1.0911043626933867,weak,28,171,predicted
digest_mg_kg_b_2496,digest_mg_kg_b_2496,False,raw,none,30,0.01,3,3,1.0,1.0,1.0,0.0025456439408305664,20.23296387549998,20.23296387549998,weak,28,171,predicted
clr_total_mg_l_f,clr_total_mg_l_f,False,raw,none,80,0.01,8,5,0.6,1.0,0.1,0.00047769754808990594,1.387978809872034,1.387978809872034,weak,28,171,predicted
hr_24_mg_l_so4,hr_24_mg_l_so4,False,raw,none,50,0.01,6,10,0.8,0.7,0.0,-0.0023940689505388413,1900.5463204340695,1900.5463204340695,unusable,28,171,skipped R²=-0.002
clr_hr_1_mg_l_f,clr_hr_1_mg_l_f,False,raw,none,50,0.01,6,1,1.0,1.0,1.0,-0.007283264770726383,1.4091718150963721,1.4091718150963721,unusable,28,171,skipped R²=-0.007
log_digest_mg_kg_tl1908,digest_mg_kg_tl1908,True,log1p,expm1,50,0.1,4,1,1.0,0.7,1.0,-0.01122985617103911,0.08243529304374167,0.3456054765177246,unusable,28,171,skipped R²=-0.011
log_digest_mg_kg_sn1899,digest_mg_kg_sn1899,True,log1p,expm1,30,0.01,3,5,0.6,0.7,1.0,-0.01856567798310671,0.07146086245004503,0.2521554808856714,unusable,28,171,skipped R²=-0.019
digest_mg_kg_as1890,digest_mg_kg_as1890,False,raw,none,30,0.01,3,10,0.8,0.7,0.0,-0.02745314353629258,2.5301163045042268,2.5301163045042268,unusable,28,171,skipped R²=-0.027
ec_us_cm,ec_us_cm,False,raw,none,30,0.01,8,3,1.0,1.0,0.0,-0.036708579445735134,4995.980660917097,4995.980660917097,unusable,28,171,skipped R²=-0.037
log_digest_mg_kg_hg1849,digest_mg_kg_hg1849,True,log1p,expm1,30,0.01,8,1,1.0,0.5,0.1,-0.037330643844972755,1.2360110312163965,70.24415763583427,unusable,28,171,skipped R²=-0.037
clr_total_mg_l_mg2,clr_total_mg_l_mg2,False,raw,none,30,0.01,8,3,1.0,1.0,0.0,-0.05855646818623428,0.8416724941344896,0.8416724941344896,unusable,28,171,skipped R²=-0.059
